x,y,datamask,gain,lossyear,treecover2000
175.086625,-41.148125,255,255,255,255
175.086875,-41.148125,255,255,255,255
175.087125,-41.148125,255,255,255,255
175.087375,-41.148125,255,255,255,255
175.087625,-41.148125,1,0,0,0
175.087875,-41.148125,255,255,255,255
175.088125,-41.148125,255,255,255,255
175.088375,-41.148125,255,255,255,255
175.086625,-41.148375,255,255,255,255
175.086875,-41.148375,255,255,255,255
175.087125,-41.148375,1,0,0,0
175.087375,-41.148375,1,0,0,0
175.087625,-41.148375,1,0,0,0
175.087875,-41.148375,1,0,0,0
175.088125,-41.148375,255,255,255,255
175.088375,-41.148375,255,255,255,255
175.086625,-41.148625,255,255,255,255
175.086875,-41.148625,1,0,0,0
175.087125,-41.148625,1,0,0,0
175.087375,-41.148625,1,0,0,0
175.087625,-41.148625,1,0,0,0
175.087875,-41.148625,1,0,0,0
175.088125,-41.148625,255,255,255,255
175.088375,-41.148625,255,255,255,255
175.086625,-41.148875,255,255,255,255
175.086875,-41.148875,1,0,0,0
175.087125,-41.148875,1,0,0,0
175.087375,-41.148875,1,0,0,0
175.087625,-41.148875,1,0,0,0
175.087875,-41.148875,255,255,255,255
175.088125,-41.148875,255,255,255,255
175.088375,-41.148875,255,255,255,255
175.086625,-41.149125,255,255,255,255
175.086875,-41.149125,1,0,0,0
175.087125,-41.149125,1,0,0,0
175.087375,-41.149125,1,0,0,0
175.087625,-41.149125,1,0,0,0
175.087875,-41.149125,255,255,255,255
175.088125,-41.149125,255,255,255,255
175.088375,-41.149125,255,255,255,255
175.086625,-41.149375,255,255,255,255
175.086875,-41.149375,1,0,0,0
175.087125,-41.149375,1,0,0,0
175.087375,-41.149375,1,0,0,0
175.087625,-41.149375,1,0,0,0
175.087875,-41.149375,255,255,255,255
175.088125,-41.149375,255,255,255,255
175.088375,-41.149375,255,255,255,255
175.086625,-41.149625,255,255,255,255
175.086875,-41.149625,1,0,0,0
175.087125,-41.149625,1,0,0,0
175.087375,-41.149625,1,0,0,0
175.087625,-41.149625,1,0,0,0
175.087875,-41.149625,1,0,0,0
175.088125,-41.149625,255,255,255,255
175.088375,-41.149625,255,255,255,255
175.086625,-41.149875,255,255,255,255
175.086875,-41.149875,1,0,0,0
175.087125,-41.149875,1,0,0,0
175.087375,-41.149875,1,0,0,0
175.087625,-41.149875,1,0,0,0
175.087875,-41.149875,1,0,0,67
175.088125,-41.149875,1,0,0,0
175.088375,-41.149875,1,0,0,0
175.086625,-41.150125,255,255,255,255
175.086875,-41.150125,1,0,0,0
175.087125,-41.150125,1,0,0,0
175.087375,-41.150125,1,0,0,0
175.087625,-41.150125,1,0,0,0
175.087875,-41.150125,1,0,0,67
175.088125,-41.150125,1,0,0,0
175.088375,-41.150125,1,0,0,0
175.086625,-41.150375,255,255,255,255
175.086875,-41.150375,1,0,0,0
175.087125,-41.150375,1,0,0,0
175.087375,-41.150375,1,0,0,0
175.087625,-41.150375,1,0,0,0
175.087875,-41.150375,1,0,0,58
175.088125,-41.150375,1,0,0,0
175.088375,-41.150375,1,0,0,0
175.086625,-41.150625,1,0,0,0
175.086875,-41.150625,1,0,0,0
175.087125,-41.150625,1,0,0,0
175.087375,-41.150625,1,0,0,0
175.087625,-41.150625,1,0,0,0
175.087875,-41.150625,1,0,0,0
175.088125,-41.150625,1,0,0,0
175.088375,-41.150625,1,0,0,0
175.086625,-41.150875,1,0,0,0
175.086875,-41.150875,1,0,0,0
175.087125,-41.150875,1,0,0,0
175.087375,-41.150875,1,0,0,0
175.087625,-41.150875,1,0,0,0
175.087875,-41.150875,1,0,0,0
175.088125,-41.150875,1,0,0,0
175.088375,-41.150875,255,255,255,255
175.086625,-41.151125,1,0,0,0
175.086875,-41.151125,1,0,0,0
175.087125,-41.151125,1,0,0,0
175.087375,-41.151125,1,0,0,0
175.087625,-41.151125,1,0,0,0
175.087875,-41.151125,1,0,0,0
175.088125,-41.151125,255,255,255,255
175.088375,-41.151125,255,255,255,255
175.086625,-41.151375,1,0,0,0
175.086875,-41.151375,1,0,0,0
175.087125,-41.151375,1,0,0,0
175.087375,-41.151375,1,0,0,0
175.087625,-41.151375,1,0,0,0
175.087875,-41.151375,255,255,255,255
175.088125,-41.151375,255,255,255,255
175.088375,-41.151375,255,255,255,255
175.086625,-41.151625,1,0,0,0
175.086875,-41.151625,1,0,0,0
175.087125,-41.151625,1,0,0,0
175.087375,-41.151625,255,255,255,255
175.087625,-41.151625,255,255,255,255
175.087875,-41.151625,255,255,255,255
175.088125,-41.151625,255,255,255,255
175.088375,-41.151625,255,255,255,255
