x,y,class_2017,class_2018,class_2019,class_2020,class_2021,class_2022,class_2023
175.0864927,-41.14825916,255,255,255,255,255,255,255
175.0866183,-41.14825916,255,255,255,255,255,255,255
175.0867439,-41.14825916,255,255,255,255,255,255,255
175.0868695,-41.14825916,255,255,255,255,255,255,255
175.086995,-41.14825916,255,255,255,255,255,255,255
175.0871206,-41.14825916,255,255,255,255,255,255,255
175.0872462,-41.14825916,11,11,11,11,11,11,11
175.0873718,-41.14825916,11,11,11,11,11,11,11
175.0874974,-41.14825916,11,11,11,11,11,11,11
175.087623,-41.14825916,11,11,11,11,11,11,11
175.0877486,-41.14825916,11,11,11,11,11,11,11
175.0878742,-41.14825916,11,11,11,11,11,11,11
175.0879998,-41.14825916,255,255,255,255,255,255,255
175.0881254,-41.14825916,255,255,255,255,255,255,255
175.0882509,-41.14825916,255,255,255,255,255,255,255
175.0883765,-41.14825916,255,255,255,255,255,255,255
175.0864927,-41.14834919,255,255,255,255,255,255,255
175.0866183,-41.14834919,255,255,255,255,255,255,255
175.0867439,-41.14834919,255,255,255,255,255,255,255
175.0868695,-41.14834919,255,255,255,255,255,255,255
175.086995,-41.14834919,255,255,255,255,255,255,255
175.0871206,-41.14834919,11,11,11,11,11,11,11
175.0872462,-41.14834919,11,11,11,11,11,11,11
175.0873718,-41.14834919,11,11,11,11,11,11,11
175.0874974,-41.14834919,11,11,11,11,11,11,11
175.087623,-41.14834919,11,11,11,11,11,11,11
175.0877486,-41.14834919,11,11,11,11,11,11,11
175.0878742,-41.14834919,11,11,11,11,11,11,11
175.0879998,-41.14834919,11,11,11,11,11,11,11
175.0881254,-41.14834919,255,255,255,255,255,255,255
175.0882509,-41.14834919,255,255,255,255,255,255,255
175.0883765,-41.14834919,255,255,255,255,255,255,255
175.0864927,-41.14843922,255,255,255,255,255,255,255
175.0866183,-41.14843922,255,255,255,255,255,255,255
175.0867439,-41.14843922,255,255,255,255,255,255,255
175.0868695,-41.14843922,255,255,255,255,255,255,255
175.086995,-41.14843922,11,11,11,11,11,11,11
175.0871206,-41.14843922,11,11,11,11,11,11,11
175.0872462,-41.14843922,11,11,11,11,11,11,11
175.0873718,-41.14843922,11,11,11,11,11,11,11
175.0874974,-41.14843922,11,11,11,11,11,11,11
175.087623,-41.14843922,11,11,11,11,11,11,11
175.0877486,-41.14843922,11,11,11,11,11,11,11
175.0878742,-41.14843922,11,11,11,11,11,11,11
175.0879998,-41.14843922,255,255,255,255,255,255,255
175.0881254,-41.14843922,255,255,255,255,255,255,255
175.0882509,-41.14843922,255,255,255,255,255,255,255
175.0883765,-41.14843922,255,255,255,255,255,255,255
175.0864927,-41.14852925,255,255,255,255,255,255,255
175.0866183,-41.14852925,255,255,255,255,255,255,255
